KP,KI,DELAY,SETTLINGTIME
140.1,5.1,0.04,44.5108
150.1,5.1,0.1,44.5164
145.1,0.1,0.12,44.5164
100.1,0.1,0.15,44.5176
95.1,10.1,0.02,44.51909091
145.1,10.1,0.05,44.5264
180.1,0.1,0.04,44.53030769
70.1,5.1,0.03,44.5408
145.1,5.1,0.07,44.5464
140.1,10.1,0.02,44.55826667
135.1,5.1,0.03,44.5608
175.1,5.1,0.04,44.5628
190.1,0.1,0.06,44.56296552
185.1,0.1,0.05,44.5634
135.1,0.1,0.12,44.5708
140.1,0.1,0.12,44.5708
100.1,10.1,0.06,44.57577778
145.1,10.1,0.06,44.57826667
140.1,5.1,0.05,44.5864
90.1,10.1,0.01,44.59028571
70.1,5.1,0.04,44.5908
190.1,0.1,0.07,44.59426667
140.1,10.1,0.03,44.5964
180.1,0.1,0.05,44.59971429
145.1,0.1,0.13,44.6064
130.1,5.1,0.02,44.6108
145.1,5.1,0.08,44.6164
95.1,10.1,0.03,44.61653333
130.1,5.1,0.01,44.6208
130.1,5.1,0.03,44.6208
150.1,5.1,0.11,44.6216
105.1,0.1,0.18,44.62261538
140.1,10.1,0.04,44.64493333
70.1,5.1,0.05,44.6464
145.1,10.1,0.07,44.6492
135.1,5.1,0.04,44.6508
185.1,0.1,0.06,44.65112
100.1,0.1,0.16,44.65545455
140.1,5.1,0.06,44.6564
100.1,10.1,0.07,44.66452174
135.1,10.1,0.01,44.6664
130.1,5.1,0.04,44.6708
70.1,5.1,0.06,44.6708
95.1,0.1,0.16,44.6755
90.1,5.1,0.15,44.6776
145.1,5.1,0.09,44.68826667
95.1,5.1,0.14,44.69030769
95.1,10.1,0.04,44.6925
175.1,0.1,0.06,44.69457143
190.1,0.1,0.08,44.69627027
170.1,10.1,0.02,44.7036
100.1,10.1,0.08,44.71044444
90.1,10.1,0.02,44.7105
185.1,0.1,0.07,44.71232
105.1,0.1,0.19,44.7144
135.1,10.1,0.02,44.7164
70.1,5.1,0.07,44.7164
180.1,0.1,0.06,44.72
135.1,5.1,0.05,44.7208
140.1,10.1,0.05,44.7216
140.1,5.1,0.07,44.7264
140.1,0.1,0.13,44.7264
70.1,5.1,0.08,44.7308
135.1,0.1,0.13,44.7408
