KP,KI,DELAY,SETTLINGTIME
95.1,0.1,0.04,40.5108
95.1,5.1,0.04,41.5864
95.1,10.1,0.04,44.6925
100.1,0.1,0.04,39.8864
100.1,5.1,0.04,40.86493333
100.1,10.1,0.04,43.94
105.1,0.1,0.04,39.7316
105.1,5.1,0.04,40.5964
105.1,10.1,0.04,43.65571429
110.1,0.1,0.04,39.57826667
110.1,5.1,0.04,39.8992
110.1,10.1,0.04,43.0431
115.1,0.1,0.04,38.98992
115.1,5.1,0.04,39.68776
115.1,10.1,0.04,46.4108
120.1,0.1,0.04,38.7742
120.1,5.1,0.04,45.4908
120.1,10.1,0.04,45.7908
120.1,15.1,0.04,46.4964
125.1,0.1,0.04,38.6242
125.1,5.1,0.04,45.2908
125.1,10.1,0.04,45.6708
125.1,15.1,0.04,45.8264
130.1,0.1,0.04,40.879
130.1,5.1,0.04,44.6708
130.1,10.1,0.04,45.4864
135.1,0.1,0.04,40.784
135.1,5.1,0.04,44.6508
135.1,10.1,0.04,44.8664
140.1,0.1,0.04,40.68316667
140.1,5.1,0.04,44.5108
140.1,10.1,0.04,44.64493333
145.1,0.1,0.04,40.58848276
145.1,5.1,0.04,44.0088
145.1,10.1,0.04,44.4264
150.1,0.1,0.04,40.4715
150.1,5.1,0.04,43.7564
150.1,10.1,0.04,43.86493333
155.1,0.1,0.04,42.4908
155.1,5.1,0.04,43.60493333
155.1,10.1,0.04,43.6792
160.1,0.1,0.04,42.5864
160.1,5.1,0.04,43.3508
165.1,0.1,0.04,42.4864
165.1,5.1,0.04,42.8516
170.1,0.1,0.04,42.4164
170.1,5.1,0.04,42.68776
175.1,0.1,0.04,44.34466667
175.1,5.1,0.04,44.5628
180.1,0.1,0.04,44.53030769
180.1,5.1,0.04,47.3708
185.1,0.1,0.04,44.4775
185.1,5.1,0.04,47.4264
190.1,0.1,0.04,44.38786667
190.1,5.1,0.04,47.3308
195.1,0.1,0.04,43.9829
195.1,5.1,0.04,46.8908
200.1,0.1,0.04,46.2108
200.1,5.1,0.04,46.7164
